,Blogging & Website Builders,Cloud Storage,Collaboration & Productivity,Education & E-Learning,Email Services,Online Shopping,Porn,Search Engines,Social Media,Streaming Services,Technology & Software
google,0.22223198413848877,0.2738596796989441,0.20542442798614502,0.24478381872177124,0.2667253315448761,0.320368230342865,0.44057026505470276,0.7670707702636719,0.571632981300354,0.29782211780548096,0.38534441590309143
kzhi,-0.026063866913318634,0.019927747547626495,0.10822319984436035,0.07199907302856445,0.11800241470336914,0.11309760808944702,0.2203359156847,0.17057816684246063,0.17346073687076569,0.10954175889492035,0.2076101303100586
zemanta,0.04067247733473778,0.12590591609477997,0.05405324697494507,0.013724608346819878,0.0448138453066349,0.13312658667564392,0.18277277052402496,0.1580854058265686,0.14625433087348938,0.1410236358642578,0.13756772875785828
shalltry,0.08193439245223999,0.10288794338703156,0.06629295647144318,0.0919908881187439,0.11781708896160126,0.0850871205329895,0.25472986698150635,0.15868127346038818,0.17011818289756775,0.19282397627830505,0.18046393990516663
tiktokcdn,-0.0059284064918756485,0.08411719650030136,0.08677057176828384,0.11876753717660904,0.07142281532287598,0.10579314082860947,0.2670213580131531,0.1457357108592987,0.2243085652589798,0.1935523897409439,0.3011457622051239
icloud,0.0851820558309555,0.4658301770687103,0.1340610384941101,0.20238567888736725,0.34599006175994873,0.313273549079895,0.30524906516075134,0.1829744279384613,0.34147605299949646,0.23651152849197388,0.15055322647094727
xiaomi,0.014300779439508915,0.15505506098270416,0.13795962929725647,0.10740427672863007,0.26628780364990234,0.194720059633255,0.19588544964790344,0.15994009375572205,0.2785549759864807,0.29188409447669983,0.25707992911338806
facebook,0.2685531973838806,0.2460019886493683,0.2677467465400696,0.21627862751483917,0.28846317529678345,0.3137879967689514,0.4959312081336975,0.41024908423423767,0.7339053750038147,0.338867723941803,0.23224285244941711
amazon,0.12229370325803757,0.33471596240997314,0.15943120419979095,0.23809663951396942,0.2618423104286194,0.4887893795967102,0.38210099935531616,0.38001585006713867,0.3680863678455353,0.26315051317214966,0.27662572264671326
microsoft,0.16864469647407532,0.2641381621360779,0.3391922414302826,0.30456075072288513,0.3565162420272827,0.2374698519706726,0.3557249903678894,0.3462981581687927,0.3835926353931427,0.28827449679374695,0.5704280734062195
netflix,0.08217345178127289,0.269178181886673,0.15456745028495789,0.18784502148628235,0.24937428534030914,0.3482688367366791,0.5393646955490112,0.28276491165161133,0.3762432038784027,0.5694658756256104,0.2152634710073471
hulu,-0.0025158096104860306,0.15002577006816864,0.13139799237251282,0.20059579610824585,0.20266659557819366,0.2578137516975403,0.3623799979686737,0.17239893972873688,0.33528193831443787,0.40834665298461914,0.09764015674591064
twitter,0.23210223019123077,0.21674220263957977,0.24543538689613342,0.23411127924919128,0.35770827531814575,0.26204395294189453,0.38309624791145325,0.3940647542476654,0.7417179346084595,0.3425201177597046,0.2902955114841461
pinterest,0.14726924896240234,0.16459503769874573,0.1065807044506073,0.05605413764715195,0.16704586148262024,0.25549378991127014,0.3691805303096771,0.371857613325119,0.4328654110431671,0.28036001324653625,0.13104340434074402
reddit,0.17411135137081146,0.1244555190205574,0.18047572672367096,0.2042161375284195,0.15514586865901947,0.2960974872112274,0.46386873722076416,0.2843187153339386,0.5427959561347961,0.18035833537578583,0.21049094200134277
linkedin,0.26590457558631897,0.1666734516620636,0.20277564227581024,0.16392917931079865,0.237127423286438,0.1529093086719513,0.2922976613044739,0.34452417492866516,0.38424432277679443,0.2519107162952423,0.20883335173130035
yahoo,0.3292984366416931,0.2929996848106384,0.23970940709114075,0.3084906041622162,0.4644409716129303,0.34699708223342896,0.4614006280899048,0.5122159719467163,0.6594406366348267,0.390011191368103,0.30083391070365906
bing,0.1367405652999878,0.23180916905403137,0.10348573327064514,0.19529938697814941,0.19305841624736786,0.301154226064682,0.4383823871612549,0.5105000734329224,0.35745877027511597,0.31050410866737366,0.27523553371429443
baidu,-0.009779814630746841,0.18590965867042542,0.08016887307167053,-0.027179162949323654,0.05918264389038086,0.12511615455150604,0.2869987189769745,0.18891145288944244,0.2213975191116333,0.2158786952495575,0.17272499203681946
weibo,0.08283451199531555,0.17534437775611877,0.10640869289636612,0.1373288780450821,0.16139180958271027,0.23357048630714417,0.3926786184310913,0.173529252409935,0.3612879514694214,0.23759528994560242,0.1292588710784912
sina,0.0005653500556945801,0.11260628700256348,0.0945967435836792,0.08543142676353455,0.09388512372970581,0.1621129959821701,0.28862354159355164,0.07839998602867126,0.16487205028533936,0.14299291372299194,0.1876596063375473
tumblr,0.23120664060115814,0.15154652297496796,0.16423282027244568,0.16266795992851257,0.2234075963497162,0.20268027484416962,0.4922475814819336,0.289152592420578,0.5656610727310181,0.22038091719150543,0.20916303992271423
github,0.2921621799468994,0.14642424881458282,0.22315613925457,0.12890979647636414,0.17141543328762054,0.12347898632287979,0.2388305962085724,0.29686611890792847,0.3389533758163452,0.09312163293361664,0.3059648275375366
stackoverflow,0.34906330704689026,0.21082386374473572,0.261999249458313,0.20813629031181335,0.2374248504638672,0.3110922574996948,0.3758350610733032,0.4524971544742584,0.5551393032073975,0.3051803410053253,0.3256077468395233
wordpress,0.427947461605072,0.23761364817619324,0.28006285429000854,0.2648070752620697,0.30977311730384827,0.3109265863895416,0.3359905779361725,0.40419748425483704,0.5607162117958069,0.2640615701675415,0.2964060604572296
blogger,0.6536561250686646,0.2321593314409256,0.1989201158285141,0.2098880410194397,0.25162211060523987,0.1348552703857422,0.316742479801178,0.36314383149147034,0.511892557144165,0.2775305211544037,0.24959905445575714
wix,0.03381456434726715,0.11316104978322983,0.12432155013084412,0.09694457799196243,0.08591517060995102,0.19080759584903717,0.2373499721288681,0.17727699875831604,0.26226329803466797,0.25773781538009644,0.25219443440437317
squarespace,0.019611872732639313,0.21321186423301697,0.179098442196846,0.092659130692482,0.04479457065463066,0.07252690941095352,0.2422041893005371,0.13187751173973083,0.27033373713493347,0.0998791754245758,0.15818893909454346
shopify,0.1789686679840088,0.19342638552188873,0.22895307838916779,0.17454929649829865,0.2535197138786316,0.5567825436592102,0.18102937936782837,0.2213810831308365,0.25809580087661743,0.20440950989723206,0.23595093190670013
ebay,0.07543923705816269,0.227481871843338,0.0970291942358017,0.23327864706516266,0.20533154904842377,0.4980739653110504,0.297936350107193,0.2704993784427643,0.31896495819091797,0.15311190485954285,0.2003387212753296
paypal,0.037405870854854584,0.24010497331619263,0.0378250889480114,0.12869368493556976,0.2790430188179016,0.48272210359573364,0.2652495801448822,0.11168082058429718,0.2243756651878357,0.19991976022720337,0.10694891214370728
alibaba,0.03218057379126549,0.1286267340183258,0.17735105752944946,0.1018359363079071,0.1743476837873459,0.24319179356098175,0.13770030438899994,0.1412384808063507,0.1953231245279312,0.08435274660587311,0.23551079630851746
rakuten,0.033664241433143616,0.04950370267033577,0.06469689309597015,0.020425816997885704,0.07806888222694397,0.11668596416711807,0.23462393879890442,0.13039705157279968,0.23265022039413452,0.17709292471408844,0.20150607824325562
etsy,0.18793721497058868,0.13325099647045135,0.21299788355827332,0.16170312464237213,0.27995121479034424,0.4020603895187378,0.24055135250091553,0.17976076900959015,0.259520024061203,0.08444568514823914,0.23216965794563293
quora,0.058329351246356964,0.1839853972196579,0.22346429526805878,0.1108313500881195,0.1518661230802536,0.19034171104431152,0.3821612596511841,0.28037431836128235,0.39762669801712036,0.21122871339321136,0.2530478835105896
flickr,0.2447059601545334,0.2351924479007721,0.16390809416770935,0.14001022279262543,0.22793523967266083,0.27976053953170776,0.49337393045425415,0.3796502649784088,0.5204446315765381,0.3697741627693176,0.27055469155311584
vimeo,0.16088569164276123,0.22240835428237915,0.1516106277704239,0.15170753002166748,0.10732438415288925,0.176249697804451,0.46596693992614746,0.3037894666194916,0.4027504324913025,0.41988369822502136,0.2410374879837036
soundcloud,0.11560674756765366,0.37888041138648987,0.16038934886455536,0.10657011717557907,0.21636956930160522,0.1383267641067505,0.2936001121997833,0.2222493439912796,0.3251792788505554,0.3921114206314087,0.1923072189092636
spotify,0.05355978012084961,0.2936389744281769,0.1677621304988861,0.0797531008720398,0.165027916431427,0.23364004492759705,0.27082377672195435,0.18976597487926483,0.33443382382392883,0.40139904618263245,0.20089595019817352
pandora,0.03543765842914581,0.18733663856983185,0.0594368614256382,0.08209987729787827,0.17462165653705597,0.12923665344715118,0.30340978503227234,0.16797420382499695,0.20600473880767822,0.3550073206424713,0.12942464649677277
deezer,0.0058474307879805565,0.13842153549194336,0.19834989309310913,0.06555663794279099,0.07483089715242386,0.08688920736312866,0.1914372444152832,0.1405729055404663,0.12599888443946838,0.15749035775661469,0.15807117521762848
tidal,0.01594187319278717,0.3077768087387085,0.13131554424762726,0.12209908664226532,0.21877053380012512,0.09273463487625122,0.2569565773010254,0.19210001826286316,0.2832620441913605,0.3997444212436676,0.22506029903888702
tunein,0.02445293962955475,0.09069517254829407,0.08981689810752869,0.08265355229377747,0.11286839842796326,0.17564207315444946,0.3242360055446625,0.21784675121307373,0.2002088725566864,0.2941942512989044,0.16550083458423615
audacity,0.05672896280884743,0.1182454377412796,0.1598324030637741,0.10883422940969467,0.0855916440486908,0.12652918696403503,0.24102848768234253,0.15680235624313354,0.19739577174186707,0.18757037818431854,0.2595439553260803
lastfm,-0.007997357286512852,0.10743946582078934,0.06489258259534836,0.06352636218070984,0.17462503910064697,0.10021471232175827,0.23160620033740997,0.1278943568468094,0.20720238983631134,0.2539135217666626,0.16259926557540894
bandcamp,0.045796386897563934,0.174307718873024,0.1406296193599701,0.11831390112638474,0.12353414297103882,0.11312921345233917,0.23339852690696716,0.0769781768321991,0.1936541497707367,0.24608665704727173,0.16581745445728302
mixcloud,0.09290426969528198,0.300251841545105,0.20511575043201447,0.11787546426057816,0.1790873110294342,0.164869487285614,0.22638194262981415,0.18376761674880981,0.23546504974365234,0.34099990129470825,0.16133135557174683
musixmatch,-0.07253323495388031,-0.00151012372225523,0.04920879751443863,-0.029543710872530937,0.07963310182094574,0.09258982539176941,0.18482913076877594,0.10218372941017151,0.10447458922863007,-0.0016567576676607132,0.1508999466896057
shazam,-0.05751039832830429,0.16606031358242035,0.14067715406417847,0.0656605064868927,0.0908588096499443,0.11296804994344711,0.2564837336540222,0.14859436452388763,0.1271626502275467,0.1668524593114853,0.11257269978523254
songkick,0.016535762697458267,0.1226862370967865,0.0973169207572937,0.04252249747514725,0.08515450358390808,0.11704624444246292,0.22959202527999878,0.16990375518798828,0.19921131432056427,0.18998590111732483,0.1509692370891571
lyricsgenius,-0.040441133081912994,0.09907026588916779,0.015374571084976196,-0.05255412682890892,0.06341145187616348,0.08533275872468948,0.1839853674173355,0.18966823816299438,0.11446858942508698,0.17832492291927338,0.014873214066028595
genius,0.01494879275560379,0.10060875117778778,0.0913643091917038,0.08037497848272324,0.10104019194841385,0.11319568753242493,0.247278094291687,0.17333358526229858,0.1604875773191452,0.12230335175991058,0.08324538916349411
udemy,-0.002521487418562174,0.0642009750008583,0.1677400767803192,0.10267577320337296,0.034036241471767426,0.09785859286785126,0.2268395870923996,0.06024849787354469,0.12552335858345032,0.10909983515739441,0.1874932050704956
coursera,0.05142178386449814,0.11906270682811737,0.09172189235687256,0.15898947417736053,0.1280786693096161,0.18058370053768158,0.30372804403305054,0.16750562191009521,0.21319513022899628,0.1596386432647705,0.18728569149971008
edx,0.07120032608509064,0.09150554984807968,0.14280448853969574,0.28481024503707886,0.2517537772655487,0.1808554083108902,0.2612660527229309,0.13889092206954956,0.162905752658844,0.18706881999969482,0.1805800497531891
khanacademy,0.050819266587495804,0.006019953638315201,0.07501101493835449,0.06023353338241577,0.05981338024139404,0.15094782412052155,0.3001765012741089,0.16458816826343536,0.20318056643009186,0.03399346023797989,0.16278930008411407
duolingo,0.02224034070968628,0.02431337721645832,0.28756919503211975,0.199204221367836,0.006832500919699669,0.1562964916229248,0.19291289150714874,0.06615281850099564,0.18612655997276306,0.11595131456851959,0.14516392350196838
rossetastone,0.024183647707104683,0.00962805189192295,0.057718247175216675,-0.04588892310857773,0.07852041721343994,0.1694878339767456,0.23968446254730225,0.12196043133735657,0.14089320600032806,0.04057012498378754,0.09393046796321869
babbel,-0.008439984172582626,0.06060725823044777,0.07596603035926819,0.03630998358130455,0.09727843105792999,0.11539517343044281,0.21321004629135132,0.1728287637233734,0.199430912733078,0.07879122346639633,0.15432697534561157
memrise,0.09453485906124115,0.0798642635345459,0.22290979325771332,0.2441616654396057,0.18326795101165771,0.14385005831718445,0.29307541251182556,0.28078341484069824,0.32510778307914734,0.13853982090950012,0.3000849783420563
openai,0.0985974445939064,0.1536647081375122,0.138998344540596,0.15770816802978516,0.22183962166309357,0.1731186807155609,0.24815334379673004,0.24000999331474304,0.2987908124923706,0.29006820917129517,0.2550618648529053
deepmind,0.09943422675132751,0.15721198916435242,0.14359812438488007,0.07615812122821808,0.13654658198356628,0.10555510967969894,0.24147045612335205,0.2622162699699402,0.2331228256225586,0.2226855754852295,0.20585839450359344
ibm,0.14438237249851227,0.22715072333812714,0.2748600244522095,0.17803213000297546,0.30230912566185,0.14187268912792206,0.22116446495056152,0.2781732678413391,0.32940587401390076,0.2521468698978424,0.4085575044155121
sap,0.15522825717926025,0.1698731929063797,0.22268325090408325,0.18681806325912476,0.28202569484710693,0.17022891342639923,0.19318190217018127,0.21030491590499878,0.21387842297554016,0.24402761459350586,0.397504985332489
oracle,0.09061703085899353,0.15650656819343567,0.1590692400932312,0.12458953261375427,0.18326283991336823,0.13725963234901428,0.1505143642425537,0.2115686982870102,0.16225400567054749,0.16669513285160065,0.31082507967948914
salesforce,0.18784929811954498,0.33539456129074097,0.29587429761886597,0.2692519724369049,0.43350598216056824,0.3637455701828003,0.4252976179122925,0.31474530696868896,0.42713499069213867,0.3493596315383911,0.44751185178756714
slack,0.10659856349229813,0.12141038477420807,0.2718050479888916,0.12227559834718704,0.1803300380706787,0.16304472088813782,0.19970673322677612,0.11660037934780121,0.30759939551353455,0.24194975197315216,0.17557598650455475
zoom,0.04012707248330116,0.14305250346660614,0.19283223152160645,0.13159872591495514,0.15217211842536926,0.1851252168416977,0.3082232177257538,0.24828293919563293,0.27084121108055115,0.17059992253780365,0.1924503743648529
cisco,0.08007865399122238,0.137726828455925,0.24283123016357422,0.15588007867336273,0.2666749656200409,0.24273061752319336,0.26369157433509827,0.21861088275909424,0.24707794189453125,0.33332523703575134,0.33646050095558167
avaya,0.032246824353933334,0.15125660598278046,0.06648154556751251,0.10578826814889908,0.19088926911354065,0.13775429129600525,0.2760913074016571,0.1817937195301056,0.2215118557214737,0.17843787372112274,0.24525541067123413
ringcentral,-0.04406173527240753,0.157462477684021,0.22538012266159058,0.009123845025897026,0.2909262478351593,0.13504453003406525,0.27663710713386536,0.11237906664609909,0.22821886837482452,0.18390768766403198,0.24638831615447998
trello,0.17689679563045502,0.24318262934684753,0.20615608990192413,0.1716984212398529,0.2011372148990631,0.31345468759536743,0.3205423653125763,0.2065829336643219,0.30610206723213196,0.24119795858860016,0.30628693103790283
asana,0.050906501710414886,0.11483726650476456,0.1565064787864685,0.13795343041419983,0.10740066319704056,0.17512595653533936,0.2479332536458969,0.17022283375263214,0.15344193577766418,0.139542356133461,0.2345167100429535
monday,0.06421726942062378,0.14255274832248688,0.10657802224159241,0.11409752070903778,0.16092458367347717,0.13823248445987701,0.1801043301820755,0.07975322008132935,0.1298571228981018,0.13513635098934174,0.04401522874832153
clickup,0.08266134560108185,0.04156123846769333,0.1268455982208252,0.12490841001272202,0.12770135700702667,0.17834477126598358,0.24658387899398804,0.20751678943634033,0.24284018576145172,0.03268149495124817,0.15655100345611572
basecamp,0.06635679304599762,0.18402577936649323,0.1436508595943451,0.09965460747480392,0.11415562033653259,0.08163529634475708,0.24537433683872223,0.13733114302158356,0.20874658226966858,0.2307077795267105,0.18448230624198914
notion,0.04767842963337898,0.1682596057653427,0.19454161822795868,0.15219451487064362,0.1223590299487114,0.1750231683254242,0.23675598204135895,0.11840572953224182,0.1812731772661209,0.10090282559394836,0.19786491990089417
evernote,0.11132563650608063,0.21886655688285828,0.15099866688251495,0.11847878247499466,0.1892896443605423,0.18802665174007416,0.17305196821689606,0.2609656751155853,0.2607065737247467,0.17035196721553802,0.16228121519088745
googlekeep,0.15538755059242249,0.25592005252838135,0.10775990039110184,0.13171736896038055,0.2525739073753357,0.16673709452152252,0.2660659849643707,0.3781815767288208,0.3215654194355011,0.3471534252166748,0.16803301870822906
oneNote,0.12597472965717316,0.2064172625541687,0.16219015419483185,0.1932142972946167,0.24452421069145203,0.1817382276058197,0.13989338278770447,0.20797660946846008,0.2716808617115021,0.12625929713249207,0.17664900422096252
dropbox,0.07383528351783752,0.40477225184440613,0.1421089768409729,0.12459653615951538,0.37120577692985535,0.32175135612487793,0.2720701992511749,0.23043674230575562,0.3124007284641266,0.2959343194961548,0.21727794408798218
box,0.005456283688545227,0.2463093101978302,0.132895365357399,0.0833173394203186,0.18169662356376648,0.23975543677806854,0.31982043385505676,0.11493469774723053,0.2173624336719513,0.16282275319099426,0.16582609713077545
mega,0.05682508647441864,0.19011923670768738,0.17391499876976013,0.05681060254573822,0.17201560735702515,0.17626355588436127,0.26102399826049805,0.23989799618721008,0.27095550298690796,0.20806023478507996,0.19423775374889374
pornhub,0.15194812417030334,0.1933719366788864,0.12991175055503845,0.15741270780563354,0.17244602739810944,0.25018423795700073,0.6893734931945801,0.29850226640701294,0.3657423257827759,0.2558582127094269,0.24764643609523773
xvideos,0.06345649063587189,0.14754487574100494,0.07021566480398178,0.11726592481136322,0.12745699286460876,0.10963398963212967,0.3899343013763428,0.18261389434337616,0.22336000204086304,0.30652913451194763,0.23028938472270966
pcloud,0.13749279081821442,0.3247711956501007,0.12932613492012024,0.18081173300743103,0.16050788760185242,0.22843103110790253,0.2631199061870575,0.15948954224586487,0.2542400360107422,0.24168425798416138,0.213735893368721
sync,0.10759288817644119,0.3624292314052582,0.2743636667728424,0.12764407694339752,0.28439149260520935,0.2661292552947998,0.27529245615005493,0.13675834238529205,0.3295724391937256,0.30112048983573914,0.19336964190006256
onedrive,0.11031115055084229,0.41697758436203003,0.12480013817548752,0.19515728950500488,0.26629704236984253,0.22192378342151642,0.27465352416038513,0.2076987475156784,0.25625595450401306,0.1551937609910965,0.23678448796272278
protonmail,0.07408737391233444,0.14310456812381744,0.10339829325675964,0.12905247509479523,0.4597715437412262,0.1910213679075241,0.18651346862316132,0.19011639058589935,0.21447402238845825,0.1566515564918518,0.21255704760551453
tutanota,-0.00431150384247303,0.07412136346101761,0.04248226433992386,0.07895736396312714,0.168734610080719,0.18134050071239471,0.2305411696434021,0.11374169588088989,0.21337752044200897,0.10922355949878693,0.18429240584373474
mailfence,-0.01031606923788786,0.10124987363815308,0.01997346803545952,0.14188846945762634,0.5191195011138916,0.16510754823684692,0.21031685173511505,0.16175271570682526,0.20567448437213898,0.06970307976007462,0.16348345577716827
zoho,0.0062495386227965355,0.10037155449390411,0.12031041830778122,0.02912674844264984,0.04092510789632797,0.1403374969959259,0.23001770675182343,0.16074013710021973,0.2362343668937683,0.11969254165887833,0.11635991930961609
fastmail,0.0853230357170105,0.16263431310653687,0.0692887008190155,0.13179317116737366,0.5848405957221985,0.2171042561531067,0.22625212371349335,0.2111988067626953,0.26141154766082764,0.22401216626167297,0.15679578483104706
aol,0.14446718990802765,0.21593721210956573,0.11718925088644028,0.25257885456085205,0.5128433108329773,0.30691584944725037,0.33589860796928406,0.3437488377094269,0.4401073753833771,0.39485225081443787,0.25577738881111145
gmx,0.07454553991556168,0.06663558632135391,0.1140037402510643,0.032613784074783325,0.14829616248607635,0.1261264532804489,0.261128306388855,0.18075843155384064,0.19109538197517395,0.17172081768512726,0.24650335311889648
yandex,0.062288325279951096,0.11338289082050323,0.007125763222575188,-6.353482604026794e-05,0.1341518759727478,0.129047691822052,0.2144407331943512,0.18589480221271515,0.20843273401260376,0.22757644951343536,0.18685205280780792
rambler,0.035870470106601715,0.09944028407335281,0.0013465452939271927,0.003797423094511032,0.07943810522556305,0.09046962112188339,0.17724843323230743,0.200154647231102,0.15127605199813843,0.2136715054512024,0.11454775929450989
redtube,0.09982304275035858,0.14569905400276184,0.13605725765228271,0.16424062848091125,0.10308349877595901,0.24739448726177216,0.29437267780303955,0.23131579160690308,0.2518581748008728,0.2834175229072571,0.19202852249145508
youporn,0.03705137223005295,0.11166134476661682,0.14631162583827972,0.17549893260002136,0.11915996670722961,0.15817101299762726,0.29580628871917725,0.1739862859249115,0.3132217526435852,0.23125526309013367,0.19273313879966736
brazzers,0.03184111788868904,0.07797298580408096,0.11776959896087646,0.016974035650491714,0.03409454599022865,0.09029087424278259,0.22561480104923248,0.13948577642440796,0.22760841250419617,0.1355830729007721,0.10891161113977432
xnxx,0.031182508915662766,0.08461031317710876,0.05250609666109085,0.002518676221370697,0.13386985659599304,0.11814796924591064,0.26927992701530457,0.1173681914806366,0.17348164319992065,0.21270352602005005,0.14495210349559784
runbox,0.020617235451936722,0.18651454150676727,0.062454864382743835,0.061014506965875626,0.15522032976150513,0.12112787365913391,0.16060534119606018,0.08166666328907013,0.15386207401752472,0.1917717158794403,0.16765806078910828
posteo,0.0722227543592453,0.1133030578494072,0.15265153348445892,0.10338155180215836,0.2548968493938446,0.1565055251121521,0.2281520813703537,0.21422410011291504,0.3286122679710388,0.19690626859664917,0.17289099097251892
vivaldi,-0.032133568078279495,0.10010383278131485,0.13549938797950745,0.07224641740322113,0.03910018131136894,0.10773518681526184,0.2142544984817505,0.10691509395837784,0.11399046331644058,0.22947171330451965,0.144574835896492
